# name,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
Kepler-229 b,,,,0.196,0.07,0.07,6.252972,2.10E-05,2.10E-05,0.062,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-229,286.9994813,48.375797,,,14.363,13.868,13.785,,-0.109,,0.73,,,5120,,
Kepler-229 c,,,,0.439,0.155,0.155,16.068638,1.90E-05,1.90E-05,0.117,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-229,286.9994813,48.375797,,,14.363,13.868,13.785,,-0.109,,0.73,,,5120,,
Kepler-229 d,,,,0.343,0.123,0.123,41.194912,0.000248,0.000248,0.22,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-229,286.9994813,48.375797,,,14.363,13.868,13.785,,-0.109,,0.73,,,5120,,
Kepler-23 b,0.8,inf,nan,0.17,,,7.1073,,,0.075,,,,,,,,,,2012,1/30/2012,,,,,,,,,,2454971.302,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-23,294.2166667,49.4791667,14,,,,,,,1.11,1.52,,,5760,,
Kepler-23 c,2.7,inf,nan,0.29,,,10.7421,,,0.099,,,,,,,,,,2012,1/30/2012,,,,,,,,,,2454966.293,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-23,294.2166667,49.4791667,14,,,,,,,1.11,1.52,,,5760,,
Kepler-230 b,,,,0.38,0.194,0.194,32.625555,0.000126,0.000126,0.191,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-230,285.7185365,48.505859,,,13.824,13.37,13.299,,-0.291,,0.82,,,5588,,
Kepler-230 c,,,,0.182,0.093,0.093,91.773242,0.001618,0.001618,0.38,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-230,285.7185365,48.505859,,,13.824,13.37,13.299,,-0.291,,0.82,,,5588,,
Kepler-231 b,,,,0.154,0.011,0.011,10.065275,2.70E-05,2.70E-05,0.074,,,,,,,,,,2014,5/26/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-231,293.9733582,50.531914,,,13.405,12.775,12.589,,-0.011,0.58,0.49,,,3767,,
Kepler-231 c,,,,0.172,0.017,0.017,19.271566,9.90E-05,9.90E-05,0.114,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-231,293.9733582,50.531914,,,13.405,12.775,12.589,,-0.011,0.58,0.49,,,3767,,
Kepler-232 b,,,,0.275,0.131,0.131,4.431222,1.10E-05,1.10E-05,0.054,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-232,295.8161621,51.121742,,,14.179,13.799,13.765,,0.083,,0.97,,,5847,,
Kepler-232 c,,,,0.342,0.166,0.166,11.379349,4.40E-05,4.40E-05,0.101,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-232,295.8161621,51.121742,,,14.179,13.799,13.765,,0.083,,0.97,,,5847,,
Kepler-233 b,,,,0.217,0.059,0.059,8.472382,2.60E-05,2.60E-05,0.077,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-233,296.3665161,51.319523,,,14.006,13.555,13.453,,-0.067,,0.76,,,5360,,
Kepler-233 c,,,,0.242,0.07,0.07,60.418955,0.00063,0.00063,0.287,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-233,296.3665161,51.319523,,,14.006,13.555,13.453,,-0.067,,0.76,,,5360,,
Kepler-234 b,,,,0.33,0.148,0.148,2.711506,6.00E-06,6.00E-06,0.04,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-234,291.6535034,38.494659,,,14.387,14.104,14.065,,0.075,,1.11,,,6224,,
Kepler-234 c,,,,0.313,0.139,0.139,7.21205,2.20E-05,2.20E-05,0.077,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-234,291.6535034,38.494659,,,14.387,14.104,14.065,,0.075,,1.11,,,6224,,
Kepler-235 b,,,,0.199,0.009,0.009,3.340222,5.00E-06,5.00E-06,0.037,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-235,286.0791015,39.278313,,,13.952,13.278,13.116,,0.087,0.59,0.55,,,4255,,
Kepler-235 c,,,,0.114,0.007,0.007,7.824904,5.50E-05,5.50E-05,0.065,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-235,286.0791015,39.278313,,,13.952,13.278,13.116,,0.087,0.59,0.55,,,4255,,
Kepler-235 d,,,,0.183,0.009,0.009,20.060548,9.90E-05,9.90E-05,0.122,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-235,286.0791015,39.278313,,,13.952,13.278,13.116,,0.087,0.59,0.55,,,4255,,
Kepler-235 e,,,,0.198,0.026,0.026,46.183669,0.000425,0.000425,0.213,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-235,286.0791015,39.278313,,,13.952,13.278,13.116,,0.087,0.59,0.55,,,4255,,
Kepler-236 b,,,,0.14,0.011,0.011,8.295611,3.20E-05,3.20E-05,0.065,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-236,283.8663636,39.89809,,,13.224,12.537,12.312,,0.119,0.56,0.51,,,3750,,
Kepler-236 c,,,,0.178,0.015,0.015,23.968127,0.000174,0.000174,0.132,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-236,283.8663636,39.89809,,,13.224,12.537,12.312,,0.119,0.56,0.51,,,3750,,
Kepler-237 b,,,,0.126,0.067,0.067,4.715106,3.00E-05,3.00E-05,0.05,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-237,283.2213746,40.421833,,,13.749,13.223,13.172,,-0.077,0.7,0.72,,,4861,,
