# name,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
TrES-5 ,1.778,0.063,0.063,1.209,0.021,0.021,1.4822446,7.00E-07,7.00E-07,0.02446,0.0001069,0.0001069,,,,84.529,0.005,0.005,6.80E-05,2011,9/5/2011,,,,,,,,,,2455443.252,0.0001069,0.0001069,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,TrES-5,305.2208333,59.4491667,13.72,,,,,360,0.2,0.893,0.866,,7.38,5171,,
USco1602-2401 b,47,18,20,,,,,,,1000,140,140,,,,,,,,2013,5/22/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790,,,,,,,Published in a refereed paper,Imaging,,,,,USco1602-2401,240.7125,-24.030666,,,12.5,,,,,,,K4,,4550,,
USco1610-1913 b,20,3,7,,,,,,,840,90,90,,,,,,,,2013,5/22/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,Published in a refereed paper,Imaging,,,,,USco1610-1913,242.6333,-19.219055,,,13.9,,,,,,,K7,,4140,,
USco1612-1800 b,26,7,16,,,,,,,430,40,40,,,,,,,,2013,5/22/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,,,,,,,Published in a refereed paper,Imaging,,,,,USco1612-1800,243.2042,-18.01375,,,,,13.2,,,,,M3,,3410,,
UScoCTIO 108 b,14,8,2,,,,,,,670,,,,,,,,,4.62069,2007,5/26/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,UScoCTIO 108,241.475,-18.3119444,,15.65,14.42,15.07,,145,,0.057,,M7,0.011,2600,,
UZ For(ab) d,7.7,1.2,1.2,,,,1900,90,90,2.8,0.5,0.5,0.05,0.05,0.05,,,,,2011,1/28/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,UZ For(ab),53.8708333,-25.7394444,18.2,,,,,,,0.84,,Catac. var.,,,,
V391 Peg b,3.2,0.7,0.7,,,,1170,44,44,1.7,0.1,0.1,0,,,,,,0.001214,2007,8/22/2014,,,,,,,2452418,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,V391 Peg,331.05,26.4188889,14.57,,15.17,15.16,15.38,1400,,0.5,0.23,sdB,10,29300,,
VHS 1256-1257 b,11.2,1.8,9.7,,,,,,,102,9,9,,,,,,,,2015,5/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,VHS 1256-1257,194.0083333,-12.95666669,17.8,,,,,12.7,,0.073,,M7.5,0.2,2620,,
WASP-1 b,0.86,0.07,0.07,1.484,0.09,0.09,2.5199464,8.00E-07,8.00E-07,0.0382,0.0013,0.0013,0,,,88.65,0.55,0.55,,2006,5/31/2013,,,,,,,,,,2454461.863,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-1,5.1666667,31.99,11.79,,,,,,,1.24,1.382,F7V,,6200,,
WASP-10 b,3.16,0.23,0.23,1.08,0.02,0.02,3.0927616,1.82E-05,1.82E-05,0.0371,0.0013,0.0013,0.057,0.005,0.005,86.8,0.5,0.5,0.000412,2008,5/30/2014,2.737,0.166,0.166,,,,,,,2454357.858,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-10,348.9916667,31.4627778,12.7,,,,,90,0.03,0.71,0.783,K5,0.8,4675,,
WASP-100 b,2.03,0.12,0.12,1.69,0.29,0.29,2.849375,8.00E-06,8.00E-06,0.0457,0.001,0.001,0,,,82.6,1.7,2.6,,2013,5/28/2014,,,,,,,,,,2456272.34,0.0009,0.0009,,,,,,,,,,,,,,,,2190,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-100,68.9583,-64.0269,10.8,,,,,,-0.03,1.57,2,F2,,6900,,
WASP-101 b,0.5,0.004,0.004,1.41,0.05,0.05,3.585722,4.00E-06,4.00E-06,0.0506,0.0009,0.0009,0,,,85,0.2,0.2,,2013,10/22/2013,,,,,,,,,,2456164.693,0.0002,0.0002,,,,,,,,,,,,,,,,1560,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-101,98.35,-23.4861,10.3,,,,,,0.2,1.34,1.29,F6,0.9,6400,,
WASP-103 b,1.49,0.088,0.088,1.528,0.047,0.073,0.925542,1.90E-05,1.90E-05,0.01985,0.00021,0.00021,,,,86.3,2.7,2.7,,2014,5/21/2014,,,,,,,,,,2456459.6,0.00075,0.00075,,,,,,,,,,,,,,,,2508,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-103,249.3166667,7.183333337,12,,,,,470,0.06,1.22,1.436,F8V,4,6110,,
WASP-104 b,1.272,0.047,0.047,1.137,0.037,0.037,1.7554137,3.60E-06,1.80E-06,0.02918,0.00045,0.00045,0,0,0.06,83.63,0.25,0.25,,2014,8/7/2014,,,,,,,,,,6406.11126,0.00012,0.00012,,,,,,,,,,,,,,,,1516,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-104,160.6025417,7.435083343,11.12,,,,,143,0.32,1.02,0.93,G8,,5450,,
WASP-106 b,1.925,0.076,0.076,1.085,0.028,0.046,9.289715,1.00E-05,1.00E-05,0.0917,0.0014,0.0014,0,0,0.13,89.49,0.64,0.35,,2014,8/7/2014,,,,,,,,,,6649.54972,0.00033,0.00033,,,,,,,,,,,,,,,,1140,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-106,166.4297083,-5.079416678,11.21,,,,,283,-0.09,1.27,1.85,F9,,6000,,
WASP-108 b,1.167,0.091,0.091,1.215,0.04,0.04,2.6755463,2.10E-06,2.10E-06,0.0397,0.001,0.001,0,,,88.49,0.84,0.84,,2014,10/29/2014,,,,,,,,,,2456413.79,0.00015,0.00015,,,,,,,0.19,,,,,,117.8,3.5,3.5,1590,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-108,195.8291667,-49.63972224,11.2,,,,,220,0.05,1.167,1.215,F9,4.6,6000,,
WASP-109 b,0.91,0.13,0.13,1.443,0.053,0.053,3.3190233,4.20E-06,4.20E-06,0.0463,0.0011,0.0011,0,,,84.28,0.19,0.19,,2014,10/29/2014,,,,,,,,,,2.45636E+11,0.00023,0.00023,,,,,,,0.737,,,,,,109,15,15,1695,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-109,232.0541667,-16.41083335,11.4,,,,,330,-0.22,1.203,1.346,F4,2.6,6520,,
WASP-11-HAT-P-10 b,0.46,0.028,0.028,1.045,0.033,0.033,3.722469,6.70E-06,6.70E-06,0.0439,0.0009,0.0009,0,,,89.8,0.1,0.1,0.000351,2008,8/20/2015,,,,,,,,,,2456308.236,0.000107,0.000107,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-11-HAT-P-10,47.3708333,30.6736111,11.89,,,,,125,0.13,0.82,0.81,K3V,11.2,4980,,
WASP-110 b,0.515,0.064,0.064,1.238,0.056,0.056,3.7783977,3.10E-06,3.10E-06,0.0457,0.0012,0.0012,0,,,88.06,0.35,0.35,,2014,10/29/2014,,,,,,,,,,2456502.724,0.00016,0.00016,,,,,,,0.376,,,,,,71.8,8.2,8.2,1134,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-110,305.875,-44.05833334,12.3,,,,,320,-0.06,0.892,0.881,G9,8.6,5400,,
WASP-111 b,1.83,0.15,0.15,1.442,0.094,0.094,2.310965,3.40E-06,3.40E-06,0.03914,0.00098,0.00098,0,,,81.61,0.82,0.82,,2014,10/29/2014,,,,,,,,,,2456275.751,0.0004,0.0004,,,,,,,0.665,,,,,,212,14,14,2140,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-111,328.7666667,-22.61250002,10.3,,,,,210,0.08,1.5,1.85,F5,2.6,6400,,
WASP-112 b,0.88,0.12,0.12,1.191,0.049,0.049,3.0353992,3.80E-06,3.80E-06,0.0382,0.0011,0.0011,0,,,88.68,0.28,0.28,,2014,10/29/2014,,,,,,,,,,2456505.487,0.00013,0.00013,,,,,,,0.475,0.031,0.031,,,,142,17,17,1395,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-112,339.4875,-35.1538889,13.3,,,,,450,-0.64,0.807,1.002,G6,10.6,5610,,
WASP-117 b,0.2755,0.009,0.009,1.021,0.076,0.065,10.02165,0.00055,0.00055,0.09459,0.00084,0.00079,0.302,0.023,0.023,89.14,0.3,0.3,,2014,6/27/2014,242,2.5,2.5,,,,,,,2456533.823,0.0009,0.0009,,,,44,11,11,,,,,,,,,,1024,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-117,36.775,-50.28444445,10.15,,,,,,-0.11,1.126,1.17,F9,4.6,6040,,
WASP-12 b,1.404,0.099,0.099,1.736,0.092,0.092,1.0914222,1.10E-06,1.10E-06,0.02293,0.00078,0.00078,0,0.01,0.01,86,3,3,5.40E-05,2008,4/30/2015,,,,,,,,,,2454508.976,0.00028,0.00028,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,CO; CH4; CH4; CO; H2O; TiO; VO; HCN; H2; O I; C,WASP-12,97.6375,29.6722222,11.69,11.03,10.48,10.23,10.19,427,0.3,1.35,1.599,G0,1.7,6300,,
WASP-120 b,5.01,0.26,0.26,1.515,0.083,0.083,3.6112706,3.80E-06,3.80E-06,0.0522,0.0013,0.0013,0.059,0.018,0.025,82.29,0.48,0.48,,2015,9/12/2015,323,21,39,,,,,,,2456779.435,0.00044,0.00044,,,,,,,0.78,0.021,0.021,,,,511.3,9.2,9.2,1890,50,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-120,62.61666668,-45.89833336,11,,,,,,-0.05,1.45,1.93,F5,,6450,,
WASP-121 b,1.183,0.064,0.064,1.865,0.044,0.044,1.2749255,2.50E-07,2.50E-07,0.02544,0.0005,0.0005,0,,,87.6,0.6,0.6,,2015,6/10/2015,,,,,,,,,,2456635.708,0.0001,0.0001,,,,107.2,5,5,,,,,,,181.1,6.4,6.4,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-121,107.6,-39.09750001,10.4,,,,,270,0.13,1.353,1.458,F6V,,6460,,
WASP-122 b,1.372,0.072,0.072,1.792,0.069,0.069,1.7100567,3.60E-06,3.60E-06,0.03107,0.00079,0.00079,0,0,0.08,78.35,0.31,0.31,,2015,9/12/2015,,,,,,,,,,2456665.224,0.00022,0.00022,,,,,,,0.8608,0.0073,0.0073,,,,185.2,2.3,2.3,1960,50,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-122,108.3,-42.40972224,11,,,,,,0.32,1.4,1.567,G4,,5730,,
WASP-123 b,0.92,0.05,0.05,1.327,0.074,0.074,2.977641,2.40E-06,2.40E-06,0.0431,0.0011,0.0011,0,0,0.12,85.79,0.51,0.51,,2015,9/12/2015,,,,,,,,,,2456845.171,0.00041,0.00041,,,,,,,0.525,0.0053,0.0041,,,,114.5,2.3,2.3,1510,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-123,289.4791667,-32.86000003,11.1,,,,,,0.18,1.207,1.296,G5,,5730,,
WASP-13 b,0.485,0.058,0.042,1.365,0.062,0.034,4.353011,1.30E-05,1.30E-05,0.05379,0.00059,0.00077,0,,,85.64,0.24,0.24,0.000345,2008,5/23/2014,,,,,,,,,,2455575.514,0.0016,0.0016,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-13,140.1041667,33.8825,10.42,,,,,156,0,,,G1V,,5826,,
WASP-14 b,7.341,0.496,0.508,1.281,0.082,0.075,2.2437661,1.10E-06,1.10E-06,0.036,0.001,0.001,0.087,0.002,0.002,84.79,0.67,0.67,0.000225,2008,5/23/2014,252.9,0.5,0.5,,,,,,,2454963.937,0.00025,0.00025,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-14,218.275,21.8947222,9.75,,,,,160,0,1.211,1.306,F5V,0.75,6475,,
WASP-15 b,0.542,0.05,0.05,1.428,0.077,0.077,3.7520656,2.80E-06,2.80E-06,0.0499,0.0018,0.0018,0,,,85.5,0.5,0.5,0.000162,2008,6/18/2013,,,,,,,,,,2454584.698,0.00029,0.00029,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-15,208.9291667,-32.1597222,10.9,,,,,308,-0.17,1.18,1.477,F7,3.9,6300,,
WASP-16 b,0.855,0.059,0.059,1.008,0.071,0.071,3.1186009,1.31E-05,1.31E-05,0.0421,0.0018,0.0018,0,,,85.22,0.43,0.43,,2009,6/18/2013,,,,,,,,,,2454584.429,0.00023,0.00023,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-16,214.6833333,-20.2755556,11.3,,,,,,0.01,1.022,0.946,G3V,2.3,5550,,
WASP-17 b,0.486,0.032,0.032,1.991,0.081,0.081,3.735438,6.80E-06,6.80E-06,0.0515,0.00034,0.00034,0.028,0.018,0.015,86.83,0.56,0.68,,2009,8/17/2015,277.4,14.6,2.6,,,,,,,2454577.858,0.00027,0.00027,,,,,,,0.401,0.077,0.059,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,Na; Na; O I; C,WASP-17,239.9625,-28.0616667,11.6,,,,,,-0.19,1.2,1.38,F4,3,6650,,
WASP-18 b,10.43,0.4,0.4,1.165,0.077,0.077,0.9414518,4.00E-07,4.00E-07,0.02047,0.00038,0.00038,0.0088,0.0012,0.0012,86,2.5,2.5,0.000205,2009,7/5/2012,269,3,3,,,,,,,2454221.482,0.00038,0.00038,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-18,24.3541667,-45.6777778,9.3,,,,,100,0,1.24,1.23,F6,0.63,6400,,
WASP-19 b,1.114,0.04,0.04,1.395,0.025,0.025,0.78884,3.00E-07,3.00E-07,0.01616,0.00026,0.00026,0.0046,0.0044,0.0044,79.4,0.4,0.4,,2009,4/30/2015,3,70,70,,,,,,,2455168.968,9.00E-05,9.00E-05,,,,,,,,,,,,,,,,2077,,,,,,,Published in a refereed paper,Primary Transit,,,,O I; C,WASP-19,148.4166667,-45.6591667,12.3,,,,,,0.02,0.904,1.004,G8V,11.5,5500,,
WASP-2 b,0.847,0.045,0.045,1.079,0.033,0.033,2.15222144,4.00E-07,4.00E-07,0.03138,0.011,0.011,0,,,84.73,0.19,0.19,0.000218,2006,5/31/2013,,,,,,,,,,2453991.515,0.00017,0.00017,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-2,307.725,6.4294444,11.98,,,,,144,-0.08,0.84,0.834,K1V,,5150,,
WASP-20 b,0.313,0.018,0.018,1.459,0.057,0.057,4.8996285,3.40E-06,3.40E-06,0.06003,0.00067,0.00067,0,,,85.57,0.022,0.022,,2011,2/7/2014,,,,,,,,,,2455715.656,0.00028,0.00028,,,,8.1,3.6,3.6,,,,,,,,,,1379,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-20,0,0,10.68,,,,,210,-0.009,1.202,1.392,,7,5950,,
WASP-21 b,0.3,0.01,0.01,1.21,0.032,0.032,4.3225126,2.20E-06,2.20E-06,0.052,0.00044,0.00044,0,,,87.12,0.24,0.24,0.000226,2010,8/26/2015,,,,,,,,,,2454743.042,0.00065,0.00065,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-21,347.4916667,18.3961111,11.6,,,,,230,-0.4,1.01,1.06,G3V,,5800,,
WASP-22 b,0.588,0.017,0.017,1.158,0.038,0.038,3.5327313,5.80E-06,5.80E-06,0.04698,0.00037,0.00037,0,,,88.26,0.91,0.91,0.000157,2010,7/1/2011,,,,,,,,,,2455497.4,0.00025,0.00025,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-22,52.8166667,-23.8197222,12,,,,,300,-0.05,1.1,1.13,,,6000,,
WASP-23 b,0.884,0.099,0.088,0.962,0.056,0.047,2.9444256,1.30E-06,1.10E-06,0.0376,0.0024,0.0016,0.062,inf,nan,88.39,0.45,0.79,,2010,8/16/2014,,,,,,,,,,2455320.124,0.00013,0.00013,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-23,101.1291667,-42.7619444,12.7,,,,,,,0.78,0.765,K1V,,5150,,
WASP-24 b,1.071,0.038,0.036,1.3,0.038,0.039,2.3412127,2.00E-06,2.00E-06,0.03651,0.00028,0.00028,0,,,83.64,0.29,0.29,0.000109,2010,7/24/2014,,,,,,,,,,2455081.379,0.00017,0.00017,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,WASP-24,227.2166667,2.3433333,11.3,,,,,330,0.07,1.129,1.147,F8-9,1.6,6075,,
WASP-25 b,0.58,0.04,0.04,1.26,0.06,0.06,3.76483,5.00E-05,5.00E-05,0.0474,0.0004,0.0004,0,,,87.7,0.5,0.5,0.00028,2010,7/24/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,WASP-25,195.3583333,-27.5222222,11.9,,,,,169,-0.05,1,0.95,G4,,5750,,
WASP-26 b,1.028,0.021,0.021,1.281,0.075,0.075,2.7566004,6.70E-06,6.70E-06,0.03985,0.00033,0.00033,0,,,82.91,0.46,0.46,0.000159,2010,7/24/2014,,,,,,,,,,2455228.388,0.00058,0.00058,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-26,4.6041667,-15.2672222,11.3,,,,,250,-0.02,1.12,1.34,G0,6,5950,,
WASP-28 b,0.907,0.043,0.043,1.213,0.042,0.042,3.40883,6.00E-06,6.00E-06,0.04469,0.00076,0.00076,0.046,0.03,0.03,88.61,0.67,0.67,0.000136,2010,2/7/2014,,,,,,,,,,2455290.405,0.0003,0.0003,,,,8,18,18,,,,,,,,,,1468,,,,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-28,353.6166667,-1.58,12,,,,,410,-0.29,1.021,1.094,F8-G0,5,6150,,
WASP-29 b,0.242897146,0.020105088,0.020105088,0.841289752,0.034793532,0.055312794,3.922727,4.00E-06,4.00E-06,0.0457,0.0006,0.0006,0.03,0.03,0.03,88.8,0.7,0.7,0.000571,2010,5/21/2014,,,,,,,,,,2455320.243,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-29,357.8791667,-39.9066667,11.3,,,,,80,0.11,0.825,0.846,K4V,15,4800,,
WASP-3 b,2.06,0.13,0.13,1.454,0.084,0.084,1.8468372,6.00E-07,6.00E-07,0.0313,0.0001,0.0001,0,,,85.06,0.16,0.16,0.00014,2007,11/2/2012,,,,,,,,,,2454605.559,0.00023,0.00023,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-3,278.6333333,35.6616667,10.64,,,,,223,0,1.24,1.31,F7V,,6400,,
WASP-31 b,0.478,0.03,0.03,1.537,0.06,0.06,3.405909,5.00E-06,5.00E-06,0.04657,0.00034,0.00034,0,,,84.54,0.027,0.027,0.000116,2010,8/17/2014,,,,,,,,,,2455192.689,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-31,169.4375,-19.0547222,11.7,,,,,400,-0.19,1.16,1.24,F,,6200,,
WASP-32 b,3.6,0.07,0.07,1.18,0.07,0.07,2.71865,8.00E-05,8.00E-05,0.0394,0.0003,0.0003,0.018,0.0065,0.0065,85.3,0.5,0.5,,2010,10/11/2010,160,30,30,,,,,,,2455151.054,0.0005,0.0005,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-32,3.9625,1.2005556,11.3,,,,,,-0.13,1.1,1.11,G,,6100,,
WASP-33 b,2.1,0.1,0.1,1.603,0.014,0.014,1.21986967,4.50E-07,4.50E-07,0.02558,0.00023,0.00023,0,,,87.7,1.8,1.8,0.000221,2010,9/30/2015,,,,,,,,,,2454590.179,0.00027,0.00027,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,WASP-33,36.7125,37.5505556,8.3,,,,,116,0.1,1.495,1.444,A5,,7400,,
WASP-34 b,0.59,0.01,0.01,1.22,0.08,0.08,4.3176782,4.50E-06,4.50E-06,0.0524,0.0004,0.0004,0.038,0.012,0.012,85.2,0.2,0.2,0.000437,2010,12/13/2010,319.8,18.6,18.6,,,,,,,2454647.554,0.00064,0.00064,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-34,165.4,-23.8605556,10.4,,,,,120,-0.02,1.01,0.93,G5,,5700,,
WASP-35 b,0.72,0.06,0.06,1.32,0.03,0.03,3.161575,2.00E-06,2.00E-06,0.04317,0.00028,0.00028,0,,,87.96,0.25,0.25,,2011,8/16/2014,,,,,,,,,,2455531.479,0.00015,0.00015,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-35,76.08177334,-6.22982307,,,,,,,,,,,,,,
WASP-36 b,2.279,0.068,0.068,1.269,0.03,0.03,1.5373653,2.70E-06,2.70E-06,0.02624,0.00027,0.00027,0,,,83.65,0.22,0.22,5.80E-05,2010,10/25/2011,,,,,,,,,,2455569.837,9.30E-05,9.30E-05,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-36,131.5791667,-8.0269444,12.7,,,,,450,-0.31,1.02,0.943,G2,3,5881,,
WASP-37 b,1.8,0.17,0.17,1.16,0.06,0.07,3.577471,1.10E-05,1.10E-05,0.04339,0.00152,0.00152,0,,,88.78,0.83,0.83,0.000128,2010,5/23/2014,,,,,,,,,,2455338.619,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,WASP-37,221.9458333,1.065,12.7,,,,,338,-0.4,0.849,0.977,G2,11,5800,,
WASP-38 b,2.712,0.065,0.065,1.079,0.044,0.044,6.871815,4.20E-05,4.20E-05,0.07551,0.00085,0.00085,0.0321,0.0044,0.0044,88.69,0.55,0.55,0.000686,2010,4/8/2012,341,-16,-16,,,,,,,2455335.921,0.00074,0.00074,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-38,243.9583333,10.0325,9.42,,,,,110,-0.12,1.216,1.365,F8,5,6150,,
WASP-39 b,0.28,0.03,0.03,1.27,0.04,0.04,4.055259,9.00E-06,9.00E-06,0.0486,0.0005,0.0005,0,,,87.83,0.25,0.25,0.000211,2011,9/8/2011,,,,,,,,,,2455342.969,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-39,217.325,-3.4444444,12.11,,,,,230,-0.12,0.93,0.895,G8,,5400,,
WASP-4 b,1.237,0.062,0.059,1.395,0.022,0.022,1.33823187,2.50E-07,2.50E-07,0.02312,0.00033,0.00033,0,,,88.8,0.43,0.61,7.70E-05,2007,5/28/2014,,,,,,,,,,2454823.592,2.80E-05,2.80E-05,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,WASP-4,353.5625,-42.0613889,12.6,,,,,300,-0.03,0.93,1.15,G8,,5500,,
WASP-41 b,0.94,0.05,0.05,1.18,0.03,0.03,3.052404,9.00E-07,9.00E-07,0.04,0.001,0.001,0.026,0.026,0,89.4,0.3,0.3,0.000222,2010,9/28/2015,,,,,,,,,,2456014.994,0.0001,0.0001,,,,29,10,14,0.1,0.06,0.06,,,,138,2,2,1244,,,,,,,Announced on a professional conference,Primary Transit,Radial Velocity,Primary Transit,,,WASP-41,190.6187375,-30.63987502,11.6,,,,,180,-0.08,0.95,1.01,G8V,,5450,,
WASP-41 c,3.18,0.2,0.2,,,,421,2,2,1.07,0.03,0.03,0.294,0.024,0.024,,,,,2015,9/28/2015,353,6,6,2456011,3,3,,,,,,,,,,,,,,,,,,,94,3,3,241,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,WASP-41,190.6187375,-30.63987502,11.6,,,,,180,-0.08,0.95,1.01,G8V,,5450,,
WASP-42 b,0.5,0.035,0.035,1.08,0.057,0.057,4.9816872,7.30E-06,7.30E-06,0.0458,0.0017,0.0017,0.06,0.013,0.013,88.25,0.27,0.27,,2011,5/15/2012,167,26,26,,,,,,,2455652.889,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-42,192.9815459,-42.07360834,,,,,,,,,,,,,,
WASP-43 b,2.034,0.052,0.052,1.036,0.019,0.019,0.81347753,7.00E-07,7.00E-07,0.01526,0.00018,0.00018,0.0035,0.0025,0.0025,82.33,0.2,0.2,,2011,4/30/2015,328,34,34,,,,,,,2455726.951,0.00078,0.00078,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,H2O; O I; C,WASP-43,154.9083333,-9.8063889,12.4,,,,,,-0.01,0.717,0.667,K7V,0.4,4520,,
WASP-44 b,0.889,0.062,0.062,1.14,0.11,0.11,2.4238039,8.70E-06,8.70E-06,0.03473,0.00041,0.00041,0,,,86.02,0.86,0.86,,2011,1/16/2013,,,,,,,,,,2455434.376,0.0004,0.0004,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-44,3.9041667,-11.9380556,12.9,,,,,,0.06,0.951,0.927,G8V,0.9,5410,,
WASP-45 b,1.007,0.053,0.053,1.16,0.14,0.14,3.1260876,3.50E-06,3.50E-06,0.04054,0.0009,0.0009,0,,,84.47,0.79,0.79,,2011,5/17/2011,,,,,,,,,,2455441.269,0.00058,0.00058,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-45,5.2375,-35.9983333,12,,,,,,0.36,0.909,0.945,K2V,1.4,5140,,
WASP-46 b,2.101,0.073,0.073,1.31,0.051,0.051,1.43037,2.30E-06,2.30E-06,0.02448,0.00028,0.00028,0,,,82.63,0.38,0.38,,2011,5/17/2011,,,,,,,,,,2455392.316,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,WASP-46,318.7375,-55.8716667,12.9,,,,,,-0.37,0.956,0.917,G6V,1.4,5620,,
