# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
HD 7924 b,0.029,,,,,,5.3978,0.0015,0.0015,0.057,,,0.17,0.16,0.16,0.003393,,,,,,,,,,,,,,,,,,,,1,2009,11/21/2012,25,60,60,4727.27,0.87,0.87,detected by radial velocity,,HD 7924,20.4958333,76.7102778,7.185,,,,,16.8,-0.15,0.832,0.78,KOV,,5177
HD 79498 b,1.34,0.07,0.07,,,,1966,41,41,3.13,0.08,0.08,0.59,0.02,0.02,0.063878,,,,,,,,,,,,,,,,,,,,1,2012,2/4/2012,221,6,6,2453210.9,39,39,detected by radial velocity,,HD 79498,138.7875,23.3755556,8.03,,,,,49,0.24,1.06,,G5,2.7,5740
HD 80606 b,3.94,0.11,0.11,0.921,0.036,0.036,111.43637,0.0009,0.0009,0.449,0.006,0.006,0.93366,0.00043,0.00043,0.007688,89.285,0.023,0.023,4876.344,0.011,0.011,,,,,,,,,,,,,,1,2001,12/5/2012,300.651,0.109,0.109,2454424.857,0.05,0.05,detected by transit,K,HD 80606,140.6541667,50.6036111,8.93,,,,,58.4,0.43,0.98,0.98,G5,7.63,5645
HD 81040 b,6.86,0.71,0.71,,,,1001.7,7,7,1.94,,,0.526,0.042,0.042,0.059582,,,,,,,,,,,,,,,,,,,,1,2005,12/23/2010,81.3,7.2,7.2,2452504,12,12,detected by radial velocity,,HD 81040,140.9458333,20.3644444,7.72,,,,,32.56,-0.16,0.96,0.86,G2/G3,4.18,5700
HD 81688 b,2.7,,,,,,184.02,0.18,0.18,0.81,,,0,,,0.009177,,,,,,,,,,,,,,,,,,,,1,2008,2/20/2008,,,,2335.4,1.1,1.1,detected by radial velocity,,HD 81688,142.1666667,45.6013889,5.41,,,,,88.26,-0.359,2.1,13,K0III-IV,,4753
HD 82886 b,1.3,0.1,0.1,,,,705,34,34,1.65,0.06,0.06,0.27,inf,nan,0.0132,,,,,,,,,,,,,,,,,,,,1,2011,9/2/2011,347,80,80,2455200,160,160,detected by radial velocity,,HD 82886,143.9375,34.7808333,7.78,,,,,125,-0.31,1.06,4.8,G0,7,5112
HD 82943 b,4.8,,,,,,442.4,,,1.19,0,0,0.203,,,0.043336,19.4,,,,,,,,,,,,,,,,,,,1,2003,9/9/2013,107,,,,,,detected by radial velocity,,HD 82943,143.7083333,-12.1294444,6.54,,,,,27.46,0.32,1.18,1.12,G0,3.08,5874
HD 82943 c,4.78,,,,,,219.3,,,0.746,0,0,0.425,,,0.027167,19.4,,,,,,,,,,,,,,,,,,,1,2003,9/9/2013,133,,,,,,detected by radial velocity,,HD 82943,143.7083333,-12.1294444,6.54,,,,,27.46,0.32,1.18,1.12,G0,3.08,5874
HD 82943 d,0.29,0.031,0.031,,,,1078,13,13,2.145,0.017,0.017,0,,,,,,,,,,,,,,,,,,,,,,,1,2013,10/30/2013,,,,,,,detected by radial velocity,,HD 82943,143.7083333,-12.1294444,6.54,,,,,27.46,0.32,1.18,1.12,G0,3.08,5874
HD 83443 b,0.4,0.034,0.034,,,,2.985625,0.0006,0.0006,0.0406,0.0033,0.0033,0.008,0.025,0.025,0.000932,,,,,,,,,,,,,,,,,,,,1,2002,11/25/2006,24,,,11211.04,0.82,0.82,detected by radial velocity,,HD 83443,144.2958333,-43.2719444,8.23,,,,,43.54,0.35,0.9,1.04,K0 V,2.94,5460
